Book, Verse , Lemma                                                                                                                                 , Witness                        , Source                         , Ed. Comment                                                                                                                , Gen. Comment , Second R.                                                                   , Witness                           , Source                          , Comment                                                                                                                                       , Third R.                        , Witness          , Source           , Comment                             , Fourth R.          , Witness     , Source , Comment                    , Fifth R.              , Witness , Source  , Comment                                                                                                                                           , Fifth R. , Witness     , Source        , Comment , Sixth R. , Witness , Source , Comment , Seventh R.  , Witness , Source , Comment                                                           
9,30, nec                                                                                                                                   , **F Γ**                        ,,,, *om.*                                                                       , *Pa *                             ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,30, ut Nilus superfunditur                                                                                                                , **F** *Pc *                    ,,,, tatitum iussu perfunditur                                                   , *Q* [**Γ** ]                    ,,, iussu perfunditur               , θ *N *           ,,, superfunditur      , γ           ,,, ut Nilus perfunditur  , *Pa W * ,,,,,,,,,,,,,,
9,30, agmina                                                                                                                                , **F **                         ,,,, *post* agmina                                                               ,, Murgia                          , (sunt *subaudiens*)                                                                                                                           , *post* dicit                    ,, *Dan.*           , (*qua distinctione* agmen *mallem*) ,,,,,,,,,,,,,,,,,,,,
9,30, nam                                                                                                                                   ,, Murgia                         , (*scribi potest et* <sunt nam> *vel* <dicimus nam> *vel* <dicta nam> *vel* <dici possunt nam>*: cf. N on. 739.26*) ,, *om.*                                                                       , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,30, agmine Thybris                                                                                                                        ,, Verg.                          ,,, agmina thribris                                                             , *F *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,31, PINGVI                                                                                                                                , **Γ **                         ,,,, Pinguae                                                                     , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,31, νέαν ἰλύν                                                                                                                             ,,,,, ΝЄaΝ ΝЄΙΛΥΝ                                                                 , **F**                             ,,, neaneiayn                       , **Γ **           ,,,,,,,,,,,,,,,,,,,,,,
9,31, Georgicis                                                                                                                             , **Γ **                         ,,,, georgius                                                                    , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,31, montibus                                                                                                                              , **F Γ **                       ,,,, rupibus                                                                     ,, *Verg.*                         ,,,,,,,,,,,,,,,,,,,,,,,,,
9,31, amnes                                                                                                                                 , **Γ**                          ,,,, amnes et                                                                    , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
